VictimID,CaseID,Name,Gender,Age,OccupationID,ReligionID,CasteID,InjuryType
44,8624,Sharadha DSouza,F,44,14,1,5,Psychological
45,8640,Manoj Hegde,M,19,13,1,3,Psychological
46,8645,Geeta Gupta,F,26,17,3,13,None
47,8671,Salman Veerappa,M,63,6,1,4,Psychological
48,8690,Naresh Verma,M,42,4,2,11,None
49,8697,Shashi Hegde,M,30,2,1,1,None
50,8697,Harish Sridhara,M,42,12,1,2,Psychological
51,8714,Vidya Khan,F,51,9,1,1,None
52,8714,Ramesh Bhat,M,16,14,2,10,Psychological
53,8715,Abhishek Shenoy,M,33,8,1,5,None
54,8718,Radha Swamy,F,23,2,2,9,None
55,8728,Prasad Choudhary,M,74,16,1,2,None
56,8728,Rakesh Kumar,M,27,6,1,6,Minor
57,8743,Prasad Veerappa,M,17,14,1,3,Psychological
58,8753,Ratna Mirza,F,72,4,2,9,Minor
59,8754,Nirmala Rao,F,63,7,1,2,Psychological
60,8763,Nagaraj Naik,M,34,3,1,1,Minor
61,8789,Nirmala Desai,F,40,14,2,9,None
62,8809,Rakesh Mirza,M,74,12,2,9,None
63,8811,Sunitha Naik,F,18,16,1,3,Minor
64,8834,Nagaraj Verma,M,16,2,1,5,None
65,8838,Girish Joshi,M,42,18,1,1,Psychological
66,8858,Shashi Singh,M,39,4,2,11,Psychological
67,8864,Anil Puttaiah,M,19,16,3,13,Psychological
68,8929,Vidya Prabhu,F,55,2,5,16,Minor
69,8942,Sharadha Prasad,F,57,15,7,18,Psychological
70,8960,Padmavathi Kamath,F,70,2,1,2,None
71,8966,Umesh Fernandez,M,62,17,1,8,Psychological
72,8967,Dinesh Siddiqui,M,52,2,1,6,Minor
73,8970,Pooja Joshi,F,60,18,1,6,None
74,8973,Ganesh Verma,M,22,15,2,11,Psychological
75,9005,Bhavana Acharya,F,73,11,1,8,Minor
76,9009,Mallika Sridhara,F,27,8,1,3,Psychological
77,9009,Sanjay Mirza,M,69,1,1,3,Minor
78,9020,Harish Veerappa,M,34,1,2,11,Minor
79,9031,Fathima Gowda,F,45,9,5,16,Minor
80,9033,Akshata Fernandez,F,38,18,7,18,Psychological
81,9043,Chethan Siddiqui,M,28,17,1,1,Minor
82,9043,Suresh Mirza,M,30,18,1,3,None
83,9047,Venkatesh Rangaiah,M,74,5,7,18,Psychological
84,9051,Radha Choudhary,F,36,12,1,2,Minor
85,9056,Salman Verma,M,55,3,1,2,Minor
86,9067,Bhavana Patil,F,73,18,3,12,Psychological
87,9067,Priya Singh,F,71,9,1,1,Minor
88,9069,Surendra Shenoy,M,31,11,3,12,None
89,9069,Harish Gupta,M,64,15,1,4,Psychological
90,9075,Rakesh Krishnappa,M,25,12,2,11,Minor
91,9075,Spandana Joshi,F,40,18,1,4,None
92,9080,Radha Hegde,F,55,10,7,18,Psychological
93,9105,Vidya Yellappa,F,17,18,1,5,None
94,9106,Nirmala Siddiqui,F,73,5,1,7,Psychological
95,9106,Pavithra DSouza,F,21,9,1,8,Psychological
96,9111,Vanitha Muddaiah,F,30,17,1,4,None
97,9124,Pushpa Basappa,F,46,2,3,12,Psychological
98,9157,Nirmala Singh,F,60,4,7,18,Minor
99,9161,Hemavathi Shaikh,F,66,8,3,13,None
100,9167,Divya Acharya,F,22,4,2,9,Minor
101,9169,Rubina Bhat,F,61,8,1,5,Psychological
102,9358,Manjula Patil,F,19,12,7,18,Minor
103,9603,Gayathri Yellappa,F,37,11,2,10,Psychological
104,9648,Siddesh Prasad,M,39,7,1,1,Psychological
105,10232,Sumathi DSouza,F,59,1,1,7,None
106,10596,Nagaraj Swamy,M,47,10,7,18,None
107,10800,Deepa Joshi,F,73,11,7,18,None
108,10800,Shivakumar Rangaiah,M,62,14,3,12,Psychological
109,10859,Sunitha Patil,F,21,18,1,4,Minor
110,10878,Siddesh Gowda,M,26,2,1,2,None
111,11506,Fathima Raju,F,62,16,1,6,Minor
112,11565,Puneeth Naik,M,31,3,1,4,Minor
113,11864,Sanjay Pinto,M,69,17,2,10,Psychological
114,11889,Prasad Patel,M,26,12,6,17,Minor
115,12162,Usha Verma,F,69,5,1,1,None
116,12407,Sowmya Prasad,F,37,11,1,7,Psychological
117,12656,Sunil Lingaiah,M,60,12,2,11,None
118,13314,Deepa Nair,F,69,6,1,2,None
119,13314,Rubina Basappa,F,46,15,7,18,None
120,13621,Sunitha Naik,F,33,3,1,5,Psychological
121,13709,Surendra Prabhu,M,40,16,3,13,None
122,13719,Abhishek Raju,M,22,3,7,18,None
123,13797,Akshata Patel,F,68,14,3,13,Grievous
124,13866,Geeta Nayak,F,18,16,1,5,None
125,14100,Gopal Acharya,M,25,16,3,12,None
126,14107,Shanthala Murthy,F,69,5,1,7,Psychological
127,14260,Akash DSouza,M,19,15,1,6,None
128,14568,Vanitha Lingaiah,F,75,4,1,8,None
129,14624,Ravi Prabhu,M,51,13,1,2,Fatal
130,14640,Sneha Kumar,F,57,10,7,18,Minor
131,14759,Salman Krishnappa,M,57,12,1,2,None
132,14858,Reshma Siddiqui,F,67,6,1,3,Fatal
133,15439,Divya Gowda,F,47,7,1,6,Fatal
134,15439,Fathima Hegde,F,44,6,1,6,Fatal
135,15455,Pushpa Khan,F,39,10,1,6,Grievous
136,15494,Manjula Murthy,F,55,12,7,18,None
137,15543,Mohammed Kumar,M,20,14,2,9,Psychological
138,15659,Ganesh Patil,M,53,13,3,13,Psychological
139,15672,Vidya Gowda,F,19,8,4,14,None
140,15686,Kavitha Joshi,F,58,16,7,18,Minor
141,15975,Pradeep Muddaiah,M,64,16,2,9,Grievous
142,15975,Mohammed Muddaiah,M,59,12,1,8,Minor
143,16354,Vidya Nair,F,71,6,1,7,Fatal
144,16354,Divya Bhat,F,33,10,1,8,Fatal
145,16362,Sunitha Bhat,F,69,3,1,1,Minor
146,16556,Rekha Hegde,F,59,10,1,7,Minor
147,16556,Sanjay Gupta,M,26,7,1,3,Grievous
148,17045,Rekha DSouza,F,38,11,1,5,None
149,17145,Lakshmi Bhat,F,44,9,1,2,Minor
150,17296,Shanthala DSouza,F,57,13,7,18,Psychological
151,17296,Lakshmi Puttaiah,F,47,16,1,6,Minor
152,17401,Asha Murthy,F,17,8,2,10,Minor
153,17976,Ravi Raju,M,55,1,1,5,None
154,18099,Geeta Rangaiah,F,43,7,2,9,Grievous
155,18099,Gopal Patil,M,52,9,2,10,Minor
156,18114,Mallika Muddaiah,F,34,14,1,6,Minor
157,18212,Suresh Kamath,M,73,14,2,11,Grievous
158,18282,Pradeep Basappa,M,51,13,1,5,Grievous
159,18482,Rahul Patel,M,61,5,1,4,Minor
160,18726,Siddesh Nayak,M,23,8,2,10,Fatal
161,18726,Vijay Fernandez,M,23,9,1,1,Fatal
162,18726,Ayesha Gupta,F,55,17,1,5,Fatal
163,18729,Deepa Naik,F,32,4,6,17,Minor
164,18929,Roopa Lingaiah,F,26,11,2,10,Minor
165,19077,Vijay Acharya,M,55,11,1,3,Minor
166,19290,Nandakumar Yellappa,M,30,5,3,13,Fatal
167,19551,Venkatesh Rao,M,42,3,1,3,None
168,20172,Priya Veerappa,F,16,12,7,18,Minor
169,20172,Sneha Hanumaiah,F,68,6,1,4,None
170,20191,Nagaraj Desai,M,37,8,2,9,None
171,20515,Mahesh Nair,M,15,13,3,13,None
172,20555,Manjula Khan,F,70,12,5,16,Psychological
173,20861,Veena DSouza,F,27,10,1,7,Minor
174,21001,Rohan Murthy,M,23,10,1,6,Minor
175,21001,Surendra Swamy,M,62,11,3,12,Minor
176,21039,Santosh Patil,M,42,2,1,5,Minor
177,21056,Ajay Patel,M,22,3,1,5,None
178,21056,Dinesh Patil,M,25,3,7,18,None
179,21688,Shanthala Sharma,F,47,12,1,5,Minor
180,21808,Shivakumar Acharya,M,24,13,7,18,Minor
181,21972,Priya Joshi,F,25,8,2,10,Fatal
182,22174,Gopal Lingaiah,M,63,6,3,13,None
183,22287,Mallika Kamath,F,51,17,3,12,None
184,22481,Abhishek DSouza,M,73,3,1,6,Grievous
185,23051,Faisal Reddy,M,34,12,1,3,None
186,23070,Arjun Kumar,M,32,6,2,9,Minor
187,23184,Rajesh Choudhary,M,73,8,2,10,Minor
188,23475,Fathima Acharya,F,23,14,1,7,Minor
189,23538,Suresh Puttaiah,M,50,1,1,1,None
190,23608,Bhavana Swamy,F,22,13,1,3,None
191,23732,Roopa Hanumaiah,F,48,1,1,3,Minor
192,23997,Umesh Prabhu,M,49,15,1,7,Grievous
193,24019,Sumathi Basappa,F,21,7,1,8,None
194,24030,Pavithra Desai,F,19,16,1,3,None
195,24058,Umesh Verma,M,65,15,2,11,None
196,24619,Rakesh Khan,M,21,13,7,18,Psychological
197,24622,Abhishek Pinto,M,57,15,3,12,Fatal
198,24742,Suresh Verma,M,25,8,1,3,Psychological
199,24907,Sneha DSouza,F,36,8,1,3,Minor
200,25299,Vanitha Patel,F,75,13,7,18,None
201,25299,Chandana Sharma,F,44,2,1,5,Minor
202,25367,Basavaraj Nayak,M,59,10,5,16,Minor
203,25486,Madesh Thimmaiah,M,28,17,1,5,None
204,25734,Divya Verma,F,59,12,1,7,Fatal
205,26011,Nirmala Sridhara,F,36,9,3,13,Minor
206,26159,Bhavana Khan,F,67,16,4,14,Minor
207,26351,Mallika Lingaiah,F,66,15,2,10,None
208,26503,Pushpa Choudhary,F,15,12,1,4,None
209,26682,Puneeth Prasad,M,38,13,1,6,Minor
210,27123,Rekha DSouza,F,69,1,1,3,Minor
211,27318,Siddesh Swamy,M,28,12,2,11,Minor
212,27439,Nikhil Sridhara,M,19,2,2,10,Minor
213,28048,Priya DSouza,F,50,17,2,11,None
214,28203,Padmavathi Shenoy,F,37,17,2,10,None
215,28842,Ratna Rao,F,28,15,1,1,Minor
216,28850,Surendra Fernandez,M,36,6,7,18,Minor
217,29031,Vijay Prasad,M,17,3,1,2,Minor
218,29463,Sharadha Naik,F,32,1,1,4,Minor
219,29666,Reshma Prabhu,F,59,8,1,4,None
220,29823,Nagaveni Reddy,F,20,9,2,9,Minor
221,29981,Divya Singh,F,51,16,2,11,Grievous
222,30208,Veena Siddiqui,F,67,5,2,10,Grievous
223,30211,Spandana Puttaiah,F,75,11,7,18,None
224,30641,Asha Singh,F,63,1,1,5,Grievous
225,30756,Vikas Murthy,M,39,10,1,8,Fatal
226,30841,Hemavathi Gowda,F,37,13,2,10,Psychological
227,30960,Faisal Naik,M,18,6,1,2,None
228,30960,Umesh Shenoy,M,71,11,1,1,None
229,30972,Ratna Bhat,F,27,11,7,18,Grievous
230,31176,Sowmya Gupta,F,60,11,7,18,Psychological
231,31224,Meena Khan,F,32,10,2,10,None
232,31424,Nanditha Khan,F,68,9,4,14,Psychological
233,31457,Sudha Siddiqui,F,51,9,1,7,Grievous
234,31584,Rahul Sharma,M,71,8,1,2,None
235,31617,Veena Patel,F,15,2,1,5,Minor
236,32481,Rekha Joshi,F,19,7,1,8,Fatal
237,32542,Faisal Joshi,M,40,12,4,15,Fatal
238,32542,Roopa Prasad,F,74,17,2,9,Fatal
239,32588,Usha Choudhary,F,20,3,2,9,Fatal
240,32600,Umesh Reddy,M,56,14,7,18,Grievous
241,32757,Imran Verma,M,30,9,3,12,Grievous
242,33161,Fathima Gupta,F,50,6,7,18,Fatal
243,33208,Kavitha Kumar,F,19,2,7,18,Minor
244,33346,Divya Nair,F,40,16,1,3,None
245,33401,Deepak Sridhara,M,71,14,1,1,Minor
246,33410,Manjula Mirza,F,58,3,1,5,None
247,34420,Parvathi Shaikh,F,40,5,1,2,None
248,34420,Rubina Sridhara,F,53,13,1,2,None
249,34518,Vidya Bhat,F,30,16,2,10,None
250,34518,Mallika Prasad,F,46,6,1,5,None
251,34737,Nanditha Verma,F,58,14,1,1,Psychological
252,34737,Rekha Choudhary,F,48,16,3,12,Psychological
253,34936,Shivakumar Raju,M,74,7,1,2,Minor
254,35324,Basavaraj Murthy,M,49,13,3,12,None
255,35439,Pushpa Gowda,F,63,6,7,18,Minor
256,35808,Harish Shetty,M,72,16,2,10,Fatal
257,35808,Rubina Verma,F,40,7,2,9,Fatal
258,35938,Sowmya Hanumaiah,F,62,2,3,13,None
259,36336,Rubina Sharma,F,41,10,2,11,Psychological
260,36385,Santosh Gowda,M,46,3,6,17,None
261,36527,Manjunath Acharya,M,52,18,5,16,None
262,36759,Rakesh Fernandez,M,46,6,5,16,Grievous
263,36768,Pavithra Nayak,F,62,15,1,1,None
264,37412,Kiran Siddiqui,M,57,2,1,7,Minor
265,37509,Radha Gowda,F,54,7,1,3,None
266,37809,Usha Gupta,F,55,7,1,8,Psychological
267,37834,Mallika Nayak,F,45,16,7,18,Minor
268,37860,Suresh Desai,M,16,1,1,3,Fatal
269,37920,Pradeep Prasad,M,54,17,1,3,Grievous
270,37932,Geeta Raju,F,24,8,1,7,Psychological
271,38319,Usha Muddaiah,F,40,11,7,18,Minor
272,38605,Nanditha Choudhary,F,57,9,1,4,Grievous
273,38674,Basavaraj Veerappa,M,45,12,1,3,Grievous
274,38758,Girish Pinto,M,41,10,7,18,Psychological
275,38758,Savitha Rao,F,60,8,1,6,None
276,38898,Roopa Rao,F,38,4,1,4,Fatal
277,39231,Chandana Gowda,F,37,5,2,10,Minor
278,39241,Radha Shaikh,F,64,16,7,18,Minor
279,39266,Nagaveni Fernandez,F,66,6,6,17,None
280,40021,Deepa Basappa,F,38,14,1,2,None
281,40021,Shashi Nair,M,37,10,1,1,None
282,40153,Uma Desai,F,62,7,3,12,Minor
283,40193,Akash Khan,M,49,15,1,7,Minor
284,40193,Asha Shaikh,F,75,13,1,6,Minor
285,40746,Vidya Acharya,F,31,5,1,6,None
286,41129,Mallika Raju,F,56,17,7,18,Minor
287,42069,Suresh Raju,M,69,10,2,11,Minor
288,42098,Manoj Lingaiah,M,47,6,3,13,None
289,42347,Usha Swamy,F,30,13,1,7,Minor
290,42443,Mahesh Lingaiah,M,22,18,2,10,Fatal
291,42618,Mohammed Mirza,M,60,8,1,2,None
292,42770,Girish Raju,M,71,11,1,8,None
293,42897,Usha Shenoy,F,18,1,1,3,Psychological
294,42897,Rekha Nayak,F,45,4,1,3,Psychological
295,42954,Manjula Prabhu,F,36,9,1,4,Psychological
296,42954,Bhavana Verma,F,66,2,7,18,None
297,43120,Ganesh Hegde,M,48,9,3,13,None
298,43369,Kiran Nair,M,17,7,7,18,Psychological
299,43369,Sanjay Sridhara,M,28,14,7,18,None
300,43377,Basavaraj Patil,M,56,7,4,14,Minor
301,43377,Sanjay Sridhara,M,44,9,7,18,Grievous
302,43422,Sneha Singh,F,57,13,1,8,Minor
303,43437,Sudha Patil,F,72,14,1,6,Minor
304,43463,Parvathi Reddy,F,42,6,7,18,Psychological
305,43608,Ajay Prasad,M,33,16,1,2,Minor
306,43608,Rekha Murthy,F,40,8,2,10,Minor
307,44049,Pooja Thimmaiah,F,19,13,1,8,None
308,44055,Sanjay Shenoy,M,31,5,4,14,Minor
309,44093,Sunitha Basappa,F,34,12,2,10,Minor
310,44112,Imran Prasad,M,42,8,7,18,Minor
311,44112,Madesh Shenoy,M,59,8,1,2,Grievous
312,44203,Anil Puttaiah,M,69,15,7,18,None
313,44540,Akshata Basappa,F,21,11,1,8,Grievous
314,45083,Vijay Nair,M,69,2,1,5,Fatal
315,45249,Ratna Krishnappa,F,42,18,1,3,None
316,45541,Veena Lingaiah,F,65,6,4,15,Grievous
317,45661,Mallika Kamath,F,17,15,1,8,Minor
318,45836,Usha Swamy,F,44,12,7,18,Minor
319,46568,Bhavana Basappa,F,71,18,2,9,Minor
320,46633,Gayathri Nair,F,15,6,3,12,None
321,46875,Geeta Thimmaiah,F,28,3,1,1,None
322,47124,Madesh Siddiqui,M,16,11,1,6,Grievous
323,47134,Arjun Choudhary,M,66,6,1,7,None
324,47205,Imran Choudhary,M,38,11,1,1,Grievous
325,47288,Sunitha Pinto,F,35,13,3,12,Psychological
326,47288,Lokesh Verma,M,71,2,1,1,None
327,47676,Gayathri Veerappa,F,53,10,4,15,Minor
328,47859,Lokesh Singh,M,38,17,4,15,Grievous
329,47876,Rubina Murthy,F,36,12,1,6,Psychological
330,48351,Rohan Rangaiah,M,41,10,2,9,None
331,48390,Lokesh Yellappa,M,32,3,1,2,None
332,48462,Kiran Fernandez,M,45,9,2,10,None
333,48978,Priya Fernandez,F,75,9,1,2,None
334,49060,Chandana Krishnappa,F,25,12,3,13,Minor
335,49538,Praveen Hegde,M,67,7,7,18,Minor
336,49538,Akshata Yellappa,F,45,17,5,16,Grievous
337,49538,Priya DSouza,F,36,16,1,6,Minor
338,49626,Roopa Singh,F,49,18,2,9,Fatal
339,49626,Kavitha Kamath,F,72,11,6,17,Fatal
340,49655,Mohammed Verma,M,56,15,1,4,None
341,49667,Akash Naik,M,49,18,1,3,None
342,49884,Shanthala Joshi,F,71,11,1,3,Psychological
343,319,Chethan Lingaiah,M,75,17,1,3,None
344,395,Pooja Patel,F,73,10,7,18,None
345,410,Surendra Gupta,M,73,1,1,8,None
346,538,Nanditha Lingaiah,F,43,2,1,8,None
347,1162,Venkatesh DSouza,M,21,8,7,18,None
348,1216,Deepak Yellappa,M,44,6,1,7,None
349,1234,Nanditha Nair,F,38,7,1,8,None
350,1254,Vijay Rangaiah,M,55,15,1,6,None
351,1754,Rekha Rangaiah,F,69,9,1,7,None
352,1798,Abhishek Hanumaiah,M,65,14,2,9,None
353,1810,Reshma Rao,F,53,10,4,14,None
354,1941,Rahul Kamath,M,53,9,1,6,None
355,1977,Chethan Bhat,M,60,1,7,18,None
356,2259,Nikhil Thimmaiah,M,25,16,1,8,None
357,2529,Manoj Rangaiah,M,41,15,4,14,None
358,2617,Vijay Patel,M,15,8,3,12,None
359,2713,Shashi Puttaiah,M,52,10,1,4,None
360,2728,Sudha Khan,F,16,1,1,7,None
361,2743,Vijay Gowda,M,40,18,1,2,None
362,2862,Manjula Swamy,F,60,8,1,5,None
363,3182,Ratna Kamath,F,32,6,1,4,None
364,3252,Santosh Krishnappa,M,53,5,7,18,None
365,3456,Ajay Nayak,M,67,2,3,12,None
366,3510,Bharath Reddy,M,67,18,2,11,None
367,3524,Nagaveni Prasad,F,15,7,3,13,None
368,3873,Gayathri Swamy,F,67,17,7,18,None
369,4357,Imran Patel,M,32,1,1,6,Psychological
370,4576,Anitha Nair,F,51,9,1,5,None
371,4813,Girish Gupta,M,72,13,7,18,None
372,5236,Geeta Muddaiah,F,17,11,1,1,Minor
373,5292,Shivakumar Khan,M,30,17,3,12,None
374,5293,Chethan Desai,M,21,1,4,14,Psychological
375,5293,Santosh Desai,M,58,8,2,9,None
376,5515,Ganesh Joshi,M,41,17,1,2,None
377,5700,Praveen Sridhara,M,54,1,1,8,None
378,5729,Salman Murthy,M,27,13,1,7,Minor
379,5811,Akshata Sharma,F,22,6,7,18,None
380,5849,Prasad Rangaiah,M,22,16,2,9,Psychological
381,5881,Nirmala Sridhara,F,38,10,1,5,None
382,6682,Siddesh Veerappa,M,32,4,1,6,None
383,7081,Krishnaraj Joshi,M,62,8,7,18,Psychological
384,7106,Ayesha DSouza,F,19,17,1,3,Minor
385,7108,Ayesha Nayak,F,16,8,1,5,Minor
386,7369,Madesh Fernandez,M,22,16,1,8,None
387,7392,Vidya Mirza,F,35,15,1,2,Psychological
388,7462,Rajesh Hegde,M,49,4,1,5,None
389,7704,Shashi Kumar,M,29,1,7,18,None
390,7767,Girish Puttaiah,M,37,17,4,15,None
391,7835,Krishnaraj Singh,M,48,1,1,6,None
392,8209,Akash Lingaiah,M,36,9,1,1,Minor
393,8534,Gopal Naik,M,37,15,1,8,Minor
394,8534,Sanjay Joshi,M,70,1,1,5,Psychological
395,8553,Madesh Kumar,M,41,13,7,18,None
396,8563,Vanitha Bhat,F,51,3,1,4,Psychological
397,8568,Sumathi Lingaiah,F,43,7,2,11,Minor
398,8573,Lakshmi Patel,F,47,15,1,1,Minor
399,8657,Bhavana Bhat,F,22,11,7,18,Minor
400,8657,Nagaveni DSouza,F,16,11,4,15,None
401,8669,Sunil Puttaiah,M,29,18,1,7,Psychological
402,8669,Lakshmi Shenoy,F,43,12,1,7,Minor
403,8678,Suresh DSouza,M,19,9,1,3,None
404,8678,Nandakumar Sridhara,M,41,15,1,8,Psychological
405,8685,Arjun Prasad,M,34,16,2,9,None
406,8702,Manoj Gowda,M,60,5,1,7,None
407,8732,Nandakumar Reddy,M,19,14,7,18,Psychological
408,8787,Chandana Sharma,F,50,14,1,2,None
409,8791,Deepa Hegde,F,47,11,1,8,Psychological
410,8796,Salman Raju,M,36,8,1,4,Psychological
411,8799,Asha Singh,F,29,13,7,18,None
412,8802,Rohan Murthy,M,21,14,3,12,Psychological
413,8819,Shashi Singh,M,33,17,3,12,Psychological
414,8851,Divya Fernandez,F,54,2,1,5,None
415,8862,Lakshmi Kumar,F,72,4,1,1,None
416,8872,Ganesh Prasad,M,30,2,1,2,Minor
417,8875,Usha Rangaiah,F,34,11,5,16,Psychological
418,8878,Rekha Yellappa,F,61,3,7,18,Minor
419,8878,Ramesh Gowda,M,59,10,1,2,None
420,8890,Faisal Puttaiah,M,15,13,1,2,Psychological
421,8895,Umesh Naik,M,51,11,7,18,Psychological
422,8896,Rubina Murthy,F,47,7,1,1,None
423,8902,Chandana Sharma,F,39,18,1,2,None
424,8919,Rajesh Joshi,M,40,12,1,1,None
425,8952,Nagaraj Siddiqui,M,18,10,2,11,None
426,8954,Spandana Mirza,F,38,4,1,1,None
427,8965,Chethan Verma,M,45,3,1,7,None
428,8968,Vanitha Sharma,F,40,18,3,13,Psychological
429,8972,Ganesh Basappa,M,42,10,1,2,None
430,8991,Basavaraj Prasad,M,51,1,1,2,Psychological
431,8999,Sunil Siddiqui,M,50,3,1,2,None
432,9016,Harish Shetty,M,17,15,7,18,Minor
433,9038,Sudha Hegde,F,22,4,1,3,None
434,9061,Shivakumar Desai,M,67,15,7,18,Minor
435,9072,Madesh Patil,M,44,7,1,1,None
436,9072,Imran Kumar,M,65,5,1,5,None
437,9077,Ravi Hanumaiah,M,55,17,1,7,None
438,9113,Mohammed Choudhary,M,44,17,3,12,None
439,9120,Nagaraj Fernandez,M,40,12,1,5,Psychological
440,9123,Vanitha Siddiqui,F,26,14,7,18,None
441,9125,Praveen Shetty,M,35,12,4,14,Psychological
442,9125,Deepa Krishnappa,F,39,1,1,7,Minor
443,9156,Rajesh Acharya,M,33,12,1,8,Minor
444,9158,Shivakumar Rao,M,64,17,1,6,Psychological
445,9162,Deepak Nair,M,74,6,1,4,Psychological
446,9162,Lokesh Shenoy,M,23,15,7,18,Minor
447,9165,Sudha Acharya,F,61,17,3,13,Minor
448,9227,Rakesh Gowda,M,23,1,1,3,Minor
449,9405,Vidya Hegde,F,57,18,3,12,Minor
450,9405,Rakesh Joshi,M,33,5,7,18,Psychological
451,9456,Girish Shetty,M,38,6,2,9,Minor
452,9907,Nagaveni Reddy,F,45,9,4,15,None
453,10011,Bhavana Murthy,F,68,9,1,8,None
454,10520,Rekha Sridhara,F,25,11,4,14,Psychological
455,10711,Ganesh Puttaiah,M,16,13,7,18,None
456,10751,Pushpa Sharma,F,64,18,1,6,Minor
457,10907,Gopal Khan,M,20,3,4,15,Psychological
458,10907,Pradeep Murthy,M,28,8,1,6,Minor
459,10973,Manjunath Lingaiah,M,62,18,1,2,Minor
460,11262,Chandana Shenoy,F,74,2,1,3,Psychological
461,11378,Vijay Singh,M,20,15,2,11,None
462,11378,Pavithra Fernandez,F,20,1,1,1,Psychological
463,11628,Suresh Acharya,M,47,11,5,16,Psychological
464,12142,Akshata Prabhu,F,50,8,1,7,Psychological
465,12472,Uma Nayak,F,18,6,1,8,None
466,12488,Salman Khan,M,16,11,1,1,None
467,12541,Umesh Fernandez,M,58,17,1,3,None
468,12687,Akash Shetty,M,70,15,3,13,Psychological
469,12786,Mohammed Gupta,M,63,13,7,18,Minor
470,12786,Deepa Nayak,F,57,4,4,14,Psychological
471,13195,Priya Shaikh,F,58,3,2,10,None
472,13195,Pavithra Desai,F,58,11,5,16,Psychological
473,13463,Roopa Patel,F,68,5,7,18,None
474,13548,Faisal DSouza,M,47,2,1,6,Fatal
475,13646,Mohammed Krishnappa,M,19,4,1,7,Minor
476,13703,Venkatesh Prabhu,M,25,17,1,6,Psychological
477,13706,Pooja Naik,F,49,17,4,14,None
478,13721,Priya Rangaiah,F,19,8,6,17,Psychological
479,13862,Basavaraj Fernandez,M,33,18,1,4,Psychological
480,13864,Nagaveni Hegde,F,43,14,1,1,Psychological
481,14053,Santosh Shenoy,M,37,7,1,4,Fatal
482,14063,Rekha Thimmaiah,F,20,10,3,13,Psychological
483,14063,Basavaraj Lingaiah,M,73,3,1,4,Psychological
484,14098,Akshata Pinto,F,38,1,1,5,Minor
485,14141,Puneeth Prabhu,M,28,17,1,3,None
486,14824,Manjunath Thimmaiah,M,24,13,1,5,None
487,14982,Ravi Khan,M,68,16,7,18,Fatal
488,15209,Akshata Shaikh,F,44,1,2,9,Minor
489,15514,Nanditha Pinto,F,61,11,1,8,None
490,15576,Sneha Gowda,F,63,12,1,5,Minor
491,15576,Naresh Nayak,M,25,13,3,13,Grievous
492,15644,Madesh Yellappa,M,42,2,1,8,Minor
493,15751,Sunitha Puttaiah,F,67,11,7,18,Minor
494,15938,Pradeep Joshi,M,33,10,1,1,None
495,16349,Shashi Nayak,M,71,12,1,6,Fatal
496,16386,Chandana Mirza,F,39,18,3,13,Fatal
