EmployeeID,UnitID,DesignationID,FirstName,LastName,Gender,DOB,JoinDate,PhoneNo
66,9,10,Shivakumar,Hanumaiah,M,1990-02-05,2022-01-03,8238874646
67,9,15,Prasad,Patil,M,1988-05-24,2015-10-20,9717061037
68,9,8,Mohammed,Reddy,M,1982-08-22,2010-08-20,8165590800
69,9,9,Basavaraj,Desai,M,1972-05-22,2004-10-16,8299541016
70,9,11,Girish,Puttaiah,M,1968-01-07,1994-04-25,9644295247
71,9,9,Rajesh,Thimmaiah,M,1992-03-05,2020-09-23,9577144075
72,9,13,Sudha,Prasad,F,1967-07-01,1996-02-28,9387277086
73,10,14,Faisal,Siddiqui,M,1991-05-04,2019-01-11,9692963368
74,10,13,Naresh,Desai,M,1971-04-14,2002-07-17,9763118906
75,10,13,Manjula,Acharya,F,1975-02-17,2007-02-17,8236025314
76,10,13,Nirmala,Mirza,F,1974-04-04,1998-05-07,9690852623
77,10,9,Naveen,Siddiqui,M,1996-08-25,2022-10-15,9985764804
78,10,13,Pradeep,Prabhu,M,1974-08-03,2003-08-21,9446866075
79,10,13,Lokesh,Kumar,M,1984-08-15,2006-01-12,9420298660
80,10,9,Rubina,Puttaiah,F,1997-07-15,2022-09-26,9870362235
81,11,11,Hemavathi,Puttaiah,F,1995-09-05,2017-08-04,9321318464
82,11,10,Ramesh,Khan,M,1993-08-17,2022-10-06,9360043345
83,11,14,Sunitha,Acharya,F,1968-11-21,1995-02-11,9784888554
84,11,12,Manoj,DSouza,M,1974-06-03,2005-11-05,9351638598
85,11,14,Meena,Puttaiah,F,1970-05-18,1998-11-26,9327152188
86,11,9,Santosh,DSouza,M,1992-09-12,2014-06-10,9638748452
87,11,15,Praveen,Singh,M,1973-03-03,1999-02-17,8280669879
88,11,8,Akshata,Acharya,F,1973-10-13,1997-03-06,8332218290
89,12,8,Harish,Swamy,M,1980-08-20,2006-12-26,8141407343
90,12,12,Salman,Basappa,M,1977-06-22,2008-08-15,9461254050
91,12,14,Ravi,Nair,M,1973-05-02,2005-08-28,9384429198
92,12,9,Sumathi,Reddy,F,1975-05-15,2005-03-27,8022309586
93,12,11,Veena,Raju,F,1966-07-02,1994-09-12,9561830338
94,12,13,Manjula,Naik,F,1985-02-27,2017-06-26,9628468304
95,12,15,Imran,Shetty,M,1995-08-20,2017-02-01,9438944689
96,12,10,Spandana,Puttaiah,F,1998-07-04,2022-04-10,9716408822
97,13,15,Ganesh,Nayak,M,1996-10-18,2018-11-17,8342472386
98,13,12,Nagaraj,Gowda,M,1987-04-19,2015-03-22,9921490910
99,13,13,Ganesh,Veerappa,M,1997-09-18,2019-07-28,8115843091
100,13,13,Manoj,Naik,M,1987-02-12,2012-12-22,9923913528
101,13,13,Umesh,Rao,M,1987-09-11,2019-03-27,9972360629
102,13,15,Fathima,Joshi,F,1973-02-23,2002-01-10,9515879578
103,13,8,Deepak,Shenoy,M,1997-07-27,2022-08-09,9896825515
104,13,11,Sumathi,Raju,F,1968-11-11,1994-02-26,9368646621
105,14,15,Gayathri,Acharya,F,1976-08-23,2005-06-26,8245798645
106,14,14,Radha,Desai,F,1976-09-10,2003-02-03,9398707076
107,14,15,Surendra,Desai,M,1975-12-15,2002-08-02,9392523968
108,14,12,Fathima,Sharma,F,1969-11-21,1997-06-17,9931473054
109,14,10,Nanditha,Fernandez,F,1993-01-05,2016-04-25,9959167775
110,14,8,Surendra,Bhat,M,1993-06-12,2022-02-19,9681062902
111,14,13,Santosh,Gupta,M,1980-02-01,2004-08-17,8085386435
112,14,9,Padmavathi,Patel,F,1993-04-20,2019-12-16,9526460116
113,15,9,Gopal,Joshi,M,1993-02-26,2022-06-22,9318715975
114,15,12,Ajay,Patil,M,1976-06-17,2001-02-07,9641774192
115,15,8,Manjunath,Lingaiah,M,1988-08-26,2018-03-20,9718824561
116,15,15,Puneeth,Choudhary,M,1991-10-03,2015-06-21,9770394554
117,15,13,Umesh,Lingaiah,M,1976-03-14,2006-01-27,9779538491
118,15,10,Ravi,Prabhu,M,1979-06-17,2005-02-09,9595235919
119,15,12,Meena,Siddiqui,F,1984-10-18,2007-09-21,9689431184
120,15,10,Deepa,DSouza,F,1986-10-02,2008-02-02,9987412924
121,16,11,Nikhil,Hanumaiah,M,1991-10-21,2013-08-21,8248879071
122,16,12,Krishnaraj,Khan,M,1990-05-15,2013-12-02,9669002851
123,16,15,Anil,Acharya,M,1974-06-28,2001-12-28,9363514837
124,16,13,Lokesh,Lingaiah,M,1971-06-08,2000-02-09,8143275109
125,16,8,Vijay,Murthy,M,1991-04-28,2015-06-19,9335479101
126,16,15,Lokesh,Yellappa,M,1996-05-16,2018-02-13,8271368457
127,16,11,Chandana,Raju,F,1968-01-10,1997-10-27,9973161098
128,16,12,Sowmya,Gowda,F,1971-07-05,1997-12-12,8059115280
129,17,8,Abhishek,Lingaiah,M,1977-06-18,2003-02-13,8270445541
130,17,12,Nandakumar,Fernandez,M,1972-03-04,2000-06-26,9384870921
131,17,10,Usha,Puttaiah,F,1997-07-17,2019-01-02,9654699966
132,17,15,Priya,Puttaiah,F,1997-03-11,2022-06-06,8092745294
133,17,12,Kiran,Acharya,M,1997-09-18,2022-12-19,9473739005
134,17,13,Sharadha,Fernandez,F,1972-07-19,1998-12-28,9913576520
135,17,12,Santosh,Rangaiah,M,1979-12-02,2010-08-06,8294426338
136,17,14,Priya,Fernandez,F,1980-01-19,2003-04-01,8152103092
137,18,14,Imran,Verma,M,1991-09-25,2022-08-28,9828533117
138,18,13,Madesh,Basappa,M,1998-07-11,2022-08-18,9383319550
139,18,12,Nandakumar,Basappa,M,1977-04-09,2007-05-08,9448789478
140,18,15,Deepak,Basappa,M,1987-09-26,2013-05-04,8382905845
141,18,14,Basavaraj,Bhat,M,1983-01-10,2006-06-15,9944419327
142,18,11,Praveen,Muddaiah,M,1982-09-23,2008-03-04,8388763056
143,18,8,Madesh,Veerappa,M,1979-11-08,2001-02-14,9373404979
144,18,9,Pooja,Shetty,F,1965-09-06,1993-11-16,8197313825
145,19,12,Deepak,Kamath,M,1968-02-21,1999-04-18,9833496796
146,19,10,Ramesh,Prasad,M,1996-03-24,2022-01-01,9486230551
147,19,13,Vijay,Yellappa,M,1998-08-05,2022-08-09,9525119192
148,19,15,Santosh,Patel,M,1976-01-24,2003-05-19,9935925669
149,19,14,Nagaraj,Krishnappa,M,1985-02-13,2017-02-06,9674082804
150,19,11,Rajesh,Patel,M,1989-04-15,2015-06-10,8386890296
151,19,13,Imran,Khan,M,1968-11-04,1997-05-06,8077447155
152,19,12,Sneha,Nayak,F,1983-06-20,2008-04-05,8130560218
153,20,13,Harish,Pinto,M,1995-09-26,2022-04-25,9589968863
154,20,9,Divya,Sridhara,F,1998-12-12,2021-10-04,9883504237
155,20,11,Bhavana,Muddaiah,F,1974-03-11,2004-08-04,9937568520
156,20,15,Naresh,Krishnappa,M,1993-01-15,2017-09-14,8185686878
157,20,15,Mohammed,Shenoy,M,1966-07-09,1988-12-07,8319801857
158,20,13,Imran,Kumar,M,1968-02-16,1990-05-14,9628176954
159,20,14,Manjunath,Murthy,M,1993-07-13,2016-11-22,8227849589
160,20,13,Geeta,Joshi,F,1990-09-05,2015-01-25,9850045602
161,21,14,Chethan,Murthy,M,1979-04-15,2006-03-09,9525145751
162,21,14,Nandakumar,Naik,M,1980-04-03,2003-10-02,8190233330
163,21,8,Vikas,Rao,M,1990-08-08,2020-04-25,9828808678
164,21,12,Sunil,Hanumaiah,M,1985-10-20,2017-06-08,9429228089
165,21,11,Sunitha,Shenoy,F,1982-01-18,2013-12-06,9967337891
166,21,8,Basavaraj,Mirza,M,1989-09-11,2017-07-05,9460527631
167,21,15,Vikas,Singh,M,1984-12-05,2013-01-18,8065902739
168,21,10,Gayathri,Khan,F,1981-04-11,2013-02-15,9322410307
169,22,11,Mahesh,Gupta,M,1989-11-20,2020-01-28,9735254849
170,22,11,Roopa,Verma,F,1986-05-01,2011-04-24,9774279671
171,22,11,Anitha,Khan,F,1985-05-13,2014-09-21,9351395738
172,22,15,Venkatesh,Hegde,M,1995-06-07,2022-06-14,9885500790
173,22,10,Savitha,Patel,F,1991-05-05,2016-06-08,8086475853
174,22,15,Spandana,Mirza,F,1986-05-25,2015-12-21,8171851421
175,22,13,Ravi,Shetty,M,1996-03-18,2022-01-17,9819976458
176,22,8,Lakshmi,Choudhary,F,1973-11-08,1996-12-05,9839356057
177,23,13,Mahesh,Shaikh,M,1995-11-16,2017-01-18,8265208920
178,23,12,Chethan,Kamath,M,1966-09-27,1998-07-26,9624363501
179,23,10,Shanthala,Nair,F,1998-05-27,2022-05-26,8020605783
180,23,14,Venkatesh,Hanumaiah,M,1980-12-08,2006-11-27,9797742922
181,23,8,Radha,Prasad,F,1989-07-18,2018-01-21,9833002714
182,23,14,Santosh,Acharya,M,1971-09-02,1996-04-28,8373820568
183,23,9,Mohammed,Gupta,M,1967-03-28,1994-01-07,8329353063
184,23,14,Sudha,Shenoy,F,1975-10-08,2006-07-22,8254524025
185,24,10,Rohan,Pinto,M,1970-09-24,1997-01-04,8041157840
186,24,13,Nanditha,Shaikh,F,1990-06-01,2022-05-26,8175847681
187,24,14,Nagaraj,Joshi,M,1989-02-25,2020-05-26,9519865900
188,24,10,Siddesh,Siddiqui,M,1974-12-13,2001-06-04,9710697290
189,24,15,Parvathi,Gupta,F,1971-03-03,1995-07-15,8284455942
190,24,9,Suresh,Reddy,M,1987-09-03,2018-10-26,9361705758
191,24,14,Siddesh,Reddy,M,1980-10-17,2004-11-13,9628634797
192,24,12,Pushpa,Gupta,F,1996-03-03,2020-07-09,8050232066
193,25,9,Manjunath,Patel,M,1980-12-21,2009-10-20,9571453148
194,25,12,Rajesh,Prasad,M,1986-10-13,2013-08-11,8097380687
195,25,10,Pushpa,Prabhu,F,1977-08-11,2001-07-11,9494946730
196,25,11,Deepak,Murthy,M,1982-07-12,2005-10-07,8383233096
197,25,8,Rahul,Yellappa,M,1978-08-26,2004-12-03,8077015343
198,25,12,Vikas,Patel,M,1974-12-14,2002-02-15,8374321792
199,25,14,Chethan,Rao,M,1988-12-26,2018-10-21,9724679315
200,25,11,Akshata,DSouza,F,1987-03-21,2018-01-19,9996804457
201,26,13,Rohan,Desai,M,1971-01-04,1997-04-17,8284892608
202,26,11,Gopal,Swamy,M,1990-08-25,2022-10-23,8230232642
203,26,8,Krishnaraj,Hegde,M,1983-07-03,2006-12-05,9351861213
204,26,11,Puneeth,Basappa,M,1987-08-04,2016-12-23,8152803305
205,26,8,Salman,Nayak,M,1966-06-21,1989-11-26,9642737441
206,26,10,Prasad,Lingaiah,M,1992-08-08,2020-11-06,9695963619
207,26,14,Suresh,Shaikh,M,1977-08-19,2005-07-01,9537619925
208,26,12,Reshma,Kumar,F,1971-09-06,1998-06-07,8125294777
209,27,15,Puneeth,Siddiqui,M,1985-10-13,2016-07-19,9756697654
210,27,15,Nandakumar,Joshi,M,1984-10-19,2007-11-05,9325819123
211,27,9,Naveen,Swamy,M,1974-09-13,2002-10-05,8361500679
212,27,15,Pradeep,Muddaiah,M,1976-09-06,2005-05-05,9652222214
213,27,8,Nirmala,Gowda,F,1996-03-07,2022-09-17,9976433728
214,27,15,Harish,Sridhara,M,1996-03-03,2022-01-26,9549203644
215,27,11,Chethan,Kamath,M,1975-08-19,2004-09-17,9786868379
216,27,9,Ratna,Muddaiah,F,1988-09-27,2010-12-15,8239332201
217,28,9,Ayesha,Khan,F,1984-01-15,2010-06-28,9768930964
218,28,9,Shanthala,Verma,F,1987-12-20,2019-07-06,8328687800
219,28,11,Salman,Sharma,M,1987-09-09,2018-09-06,9349276764
220,28,12,Lokesh,Fernandez,M,1971-03-25,1999-01-09,9927030641
221,28,10,Vikas,Bhat,M,1985-04-25,2017-07-16,9687500742
222,28,14,Siddesh,Sridhara,M,1969-11-26,1992-07-17,9459535894
223,28,15,Deepak,Rangaiah,M,1965-12-03,1994-11-22,9318500100
224,28,14,Vanitha,Desai,F,1978-08-09,2005-05-11,8287568940
225,29,15,Rohan,Acharya,M,1968-01-04,2000-08-01,9731204188
226,29,8,Nagaraj,Nair,M,1973-11-10,1997-05-03,9958376818
227,29,13,Madesh,Mirza,M,1975-01-13,2007-05-24,9567610401
228,29,9,Rajesh,Verma,M,1995-02-05,2022-04-17,9969735865
229,29,13,Rakesh,Desai,M,1973-08-03,1998-07-03,9723851475
230,29,12,Umesh,Murthy,M,1973-11-22,1997-02-17,8311137460
231,29,10,Gopal,Raju,M,1978-11-24,2002-07-20,9969375757
232,29,11,Radha,Hegde,F,1973-02-19,2001-06-14,9328767690
233,30,9,Vikas,Lingaiah,M,1983-12-01,2015-05-07,8291460345
234,30,14,Vijay,Mirza,M,1968-04-16,1996-02-08,8195641960
235,30,8,Manjunath,Prabhu,M,1973-07-28,2004-07-12,8233188838
236,30,9,Suresh,Rangaiah,M,1969-01-09,1994-01-02,8077996124
237,30,14,Nagaraj,Pinto,M,1990-02-21,2020-09-20,9647241089
238,30,9,Lokesh,Verma,M,1974-09-11,2002-10-21,9996322745
239,30,14,Rahul,Khan,M,1968-04-03,1996-02-15,8391716102
240,30,8,Pushpa,DSouza,F,1976-02-01,2000-12-01,9676627415
241,31,12,Deepa,Swamy,F,1973-12-25,1999-12-04,9854964418
242,31,12,Divya,Kumar,F,1981-12-19,2013-02-16,8178555983
243,31,15,Abhishek,Patil,M,1988-03-09,2011-10-22,9740655922
244,31,8,Ramesh,Gowda,M,1980-01-16,2007-07-05,9614746418
245,31,14,Sunil,Prabhu,M,1980-07-24,2007-05-27,9786710258
246,31,8,Naveen,Singh,M,1998-01-13,2021-08-28,9451701149
247,31,15,Rajesh,Swamy,M,1977-05-19,2003-12-20,9572267186
248,31,13,Chandana,Thimmaiah,F,1977-12-18,2002-03-01,8013209180
249,32,13,Pradeep,Pinto,M,1965-06-01,1997-07-28,9423951801
250,32,11,Harish,Thimmaiah,M,1968-03-23,1994-02-02,9579760901
251,32,13,Venkatesh,Reddy,M,1971-09-05,2003-07-03,8386211608
252,32,10,Vikas,Kamath,M,1981-06-26,2009-12-27,9352688984
253,32,11,Ganesh,Nair,M,1973-10-04,1997-02-06,8172552858
254,32,9,Chethan,Raju,M,1978-08-10,2007-05-28,9722136086
255,32,12,Faisal,Pinto,M,1967-04-27,1994-03-03,9557746984
256,32,14,Pavithra,Sharma,F,1984-05-27,2008-01-13,8184618850
257,33,11,Dinesh,Yellappa,M,1971-03-04,1993-01-27,9527544302
258,33,14,Manjunath,Fernandez,M,1970-10-19,1996-02-01,9736541600
259,33,15,Meena,Reddy,F,1986-02-02,2015-01-06,8368137264
260,33,14,Nagaveni,Naik,F,1989-11-14,2013-06-07,9646907428
261,33,10,Ramesh,Shaikh,M,1980-11-10,2009-07-18,8118184472
262,33,14,Umesh,Choudhary,M,1977-11-26,2007-04-21,8212621269
263,33,13,Roopa,Muddaiah,F,1996-06-19,2022-06-13,9434134478
264,33,8,Hemavathi,Puttaiah,F,1979-01-26,2005-01-26,8181059199
265,34,11,Ravi,Hegde,M,1980-11-08,2006-09-27,9839448924
266,34,14,Basavaraj,Joshi,M,1976-04-19,2003-12-23,9389398174
267,34,13,Abhishek,Hanumaiah,M,1974-10-07,2003-09-10,9675825262
268,34,8,Sunil,Puttaiah,M,1979-01-17,2008-01-11,8337040091
269,34,13,Reshma,Joshi,F,1985-01-01,2009-10-23,9624887509
270,34,13,Sudha,Swamy,F,1990-10-04,2017-05-11,9631139813
271,34,14,Rohan,Siddiqui,M,1996-11-11,2020-12-18,8357892314
272,34,11,Akshata,Rangaiah,F,1976-07-10,2002-03-06,9886884584
273,35,8,Naveen,Puttaiah,M,1985-10-08,2017-10-04,8128876833
274,35,9,Vikas,Raju,M,1985-03-21,2008-12-22,9955063530
275,35,12,Anil,Khan,M,1969-06-09,1992-12-01,9861799600
276,35,14,Ravi,Choudhary,M,1996-07-12,2022-07-04,8187585294
277,35,11,Ravi,Sridhara,M,1969-01-10,1991-06-09,9719959009
278,35,14,Ravi,Kumar,M,1970-06-20,2001-08-23,9867891237
279,35,10,Nanditha,Desai,F,1975-01-04,2002-04-07,8084371711
280,35,12,Akshata,Kamath,F,1984-04-04,2006-07-19,8275893962
281,36,13,Rajesh,Desai,M,1970-05-27,2002-11-20,8136799898
282,36,11,Ravi,Siddiqui,M,1983-02-16,2006-05-26,8073209094
283,36,12,Naresh,Mirza,M,1989-03-12,2017-06-06,8115988382
284,36,15,Manoj,Singh,M,1982-10-02,2006-12-22,9721503440
285,36,14,Akash,Rangaiah,M,1979-09-02,2007-09-14,8273729850
286,36,11,Krishnaraj,Shenoy,M,1970-07-28,1992-09-19,8286703472
287,36,10,Rakesh,Sridhara,M,1976-03-07,2001-03-02,8020518444
288,36,14,Usha,Siddiqui,F,1974-10-09,2001-12-26,9721680625
289,37,14,Bharath,Prabhu,M,1982-09-15,2004-12-20,8380137085
290,37,9,Harish,Bhat,M,1974-10-19,2005-02-04,8323554707
291,37,13,Harish,Patel,M,1989-11-16,2020-10-16,9833112256
292,37,10,Nandakumar,Puttaiah,M,1990-01-13,2017-12-08,9873782705
293,37,13,Savitha,Acharya,F,1984-05-09,2013-12-22,9740595926
294,37,15,Nikhil,Prabhu,M,1982-12-14,2013-11-03,9569286198
295,37,14,Arjun,Thimmaiah,M,1998-06-27,2020-09-26,9618806960
296,37,12,Reshma,Krishnappa,F,1990-03-25,2020-10-01,9635872271
297,38,11,Rekha,Khan,F,1967-08-02,1994-12-07,9459439358
298,38,14,Fathima,Nayak,F,1966-04-12,1995-10-15,9673697356
299,38,13,Basavaraj,Patil,M,1981-12-27,2004-05-01,8016664050
300,38,11,Sunil,Mirza,M,1979-11-07,2005-11-14,8212691381
301,38,8,Roopa,Shetty,F,1976-10-26,1998-04-09,8350998106
302,38,12,Nagaraj,Murthy,M,1987-08-09,2012-08-10,9979878835
303,38,14,Chandana,Hegde,F,1965-09-22,1992-09-21,8391745321
304,38,12,Pushpa,Fernandez,F,1971-08-03,1998-05-21,9347162866
305,39,12,Praveen,Bhat,M,1998-04-02,2022-07-22,9328781020
306,39,15,Vijay,Patel,M,1991-07-13,2013-10-23,8335489981
307,39,11,Mohammed,Muddaiah,M,1995-11-12,2022-05-28,9698263548
308,39,10,Sumathi,Hegde,F,1995-03-24,2021-12-26,8234571018
309,39,13,Ayesha,Reddy,F,1979-06-08,2005-07-26,9359886371
310,39,12,Venkatesh,Nayak,M,1995-01-28,2022-10-19,8319558414
311,39,11,Lokesh,Nayak,M,1989-09-10,2017-01-28,9628436852
312,39,11,Sharadha,Choudhary,F,1994-03-11,2018-02-16,9394695784
313,40,13,Fathima,Sharma,F,1965-08-09,1990-03-19,9675709924
314,40,9,Umesh,Shaikh,M,1992-11-14,2020-07-16,8010626681
315,40,11,Rahul,Swamy,M,1965-06-25,1995-04-01,9910553491
316,40,11,Sunil,Pinto,M,1987-05-05,2010-07-17,8351086072
317,40,8,Ajay,Kamath,M,1994-12-17,2022-09-11,8027956913
318,40,15,Basavaraj,Nair,M,1975-07-01,2000-04-24,9638345472
319,40,10,Rakesh,Swamy,M,1967-07-21,1993-09-20,9889715138
320,40,8,Akshata,Hegde,F,1966-01-23,1989-07-15,8026588648
321,41,15,Imran,Bhat,M,1978-12-22,2010-01-10,8098807116
322,41,12,Nandakumar,Puttaiah,M,1973-07-27,1996-09-24,8325802066
323,41,9,Shashi,Nair,M,1977-05-27,2007-04-12,8049641367
324,41,15,Anil,Pinto,M,1995-06-08,2017-01-22,9724821786
325,41,15,Priya,Reddy,F,1997-02-24,2020-05-21,9571304112
326,41,12,Padmavathi,Yellappa,F,1968-02-27,1992-01-28,9458347193
327,41,13,Vidya,Nayak,F,1971-01-01,1995-11-21,9654112109
328,41,13,Veena,Shaikh,F,1982-12-03,2009-06-06,9763791447
329,42,15,Sanjay,Murthy,M,1995-07-21,2019-02-05,9831393688
330,42,15,Salman,Hanumaiah,M,1993-03-20,2021-06-20,9827536261
331,42,15,Rakesh,Choudhary,M,1993-01-03,2019-11-11,9880439867
332,42,11,Madesh,Acharya,M,1998-09-23,2022-02-14,9943363439
333,42,14,Shivakumar,Lingaiah,M,1968-01-21,1992-09-28,8176549837
334,42,9,Nagaveni,Prabhu,F,1980-06-09,2002-09-08,8296344588
335,42,11,Naresh,Yellappa,M,1993-10-15,2016-08-15,9325932563
336,42,15,Ayesha,Naik,F,1971-07-14,1993-09-18,9822199793
337,43,12,Lokesh,Lingaiah,M,1978-11-22,2007-06-12,9839919562
338,43,13,Spandana,Shaikh,F,1995-12-22,2022-12-15,9723077775
339,43,11,Rajesh,Acharya,M,1987-11-26,2013-09-17,9324270328
340,43,10,Shashi,Shetty,M,1991-02-09,2022-04-07,9762733674
341,43,11,Faisal,Acharya,M,1971-07-02,2003-11-19,9770465703
342,43,10,Shashi,Gowda,M,1998-12-02,2022-07-27,8374818030
343,43,10,Sneha,Rangaiah,F,1976-12-27,2000-02-13,9990603922
344,43,13,Pavithra,Murthy,F,1991-10-23,2016-05-13,9349483304
345,44,10,Umesh,Choudhary,M,1997-05-27,2022-06-23,8294903891
346,44,11,Nandakumar,Kamath,M,1987-11-05,2019-03-17,8295480242
347,44,9,Akash,Raju,M,1995-10-19,2022-12-14,9981659221
348,44,14,Salman,Gowda,M,1998-02-01,2022-03-02,9917597364
349,44,10,Vijay,Fernandez,M,1981-03-27,2003-12-26,9437380537
350,44,8,Basavaraj,Sridhara,M,1971-10-28,2003-12-18,9596854901
351,44,11,Lokesh,Pinto,M,1983-12-22,2005-07-13,8051963706
352,44,8,Lakshmi,Patel,F,1977-10-28,2006-04-21,9959357377
353,45,11,Nikhil,Nair,M,1983-08-06,2015-02-06,9678967357
354,45,8,Nagaraj,Gupta,M,1981-03-06,2012-05-01,9372589932
355,45,10,Ramesh,Bhat,M,1985-10-02,2017-10-27,9950420315
356,45,13,Ganesh,Prabhu,M,1998-04-06,2022-02-26,8231390345
357,45,14,Naresh,Raju,M,1979-04-22,2006-06-12,9439319229
358,45,15,Spandana,Mirza,F,1965-02-22,1992-08-08,9992369566
359,45,11,Kavitha,Fernandez,F,1985-07-26,2008-07-09,8247960665
360,45,8,Divya,Swamy,F,1997-09-15,2022-01-10,9935838575
361,46,9,Dinesh,Patil,M,1965-11-03,1990-11-21,9566936428
362,46,11,Sowmya,Pinto,F,1992-11-27,2015-12-22,9613188066
363,46,13,Ramesh,Reddy,M,1969-01-06,1995-09-03,8340554079
364,46,14,Gayathri,Sridhara,F,1990-07-11,2012-07-22,9781784254
365,46,9,Akash,Rangaiah,M,1967-12-28,1990-06-17,9748901209
366,46,12,Surendra,Reddy,M,1983-08-13,2011-11-01,8130981381
367,46,10,Arjun,Prasad,M,1983-11-05,2009-11-26,9960080729
